Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2017,FEMALE,HISPANIC,Karen9857,143,8
2018,MALE,WHITE NON HISPANIC,Christopher9858,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy9859,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James9860,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary9861,139,12
2022,MALE,HISPANIC,Robert9862,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia9863,137,14
2016,MALE,OTHER ETHNICITY,Michael9864,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9865,135,16
2018,MALE,BLACK NON HISPANIC,William9866,134,17
2019,FEMALE,HISPANIC,Linda9867,133,18
2020,MALE,WHITE NON HISPANIC,David9868,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara9869,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard9870,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan9871,129,22
2016,MALE,HISPANIC,Joseph9872,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica9873,127,24
2018,MALE,OTHER ETHNICITY,Thomas9874,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9875,125,26
2020,MALE,BLACK NON HISPANIC,Charles9876,124,27
2021,FEMALE,HISPANIC,Karen9877,123,28
2022,MALE,WHITE NON HISPANIC,Christopher9878,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy9879,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James9880,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary9881,119,32
2018,MALE,HISPANIC,Robert9882,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia9883,117,34
2020,MALE,OTHER ETHNICITY,Michael9884,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9885,115,36
2022,MALE,BLACK NON HISPANIC,William9886,114,37
2023,FEMALE,HISPANIC,Linda9887,113,38
2016,MALE,WHITE NON HISPANIC,David9888,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara9889,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard9890,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan9891,109,42
2020,MALE,HISPANIC,Joseph9892,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica9893,107,44
2022,MALE,OTHER ETHNICITY,Thomas9894,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9895,105,46
2016,MALE,BLACK NON HISPANIC,Charles9896,104,47
2017,FEMALE,HISPANIC,Karen9897,103,48
2018,MALE,WHITE NON HISPANIC,Christopher9898,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy9899,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James9900,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary9901,199,2
2022,MALE,HISPANIC,Robert9902,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia9903,197,4
2016,MALE,OTHER ETHNICITY,Michael9904,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9905,195,6
2018,MALE,BLACK NON HISPANIC,William9906,194,7
2019,FEMALE,HISPANIC,Linda9907,193,8
2020,MALE,WHITE NON HISPANIC,David9908,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara9909,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard9910,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan9911,189,12
2016,MALE,HISPANIC,Joseph9912,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica9913,187,14
2018,MALE,OTHER ETHNICITY,Thomas9914,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9915,185,16
2020,MALE,BLACK NON HISPANIC,Charles9916,184,17
2021,FEMALE,HISPANIC,Karen9917,183,18
2022,MALE,WHITE NON HISPANIC,Christopher9918,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy9919,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James9920,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary9921,179,22
2018,MALE,HISPANIC,Robert9922,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia9923,177,24
2020,MALE,OTHER ETHNICITY,Michael9924,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9925,175,26
2022,MALE,BLACK NON HISPANIC,William9926,174,27
2023,FEMALE,HISPANIC,Linda9927,173,28
2016,MALE,WHITE NON HISPANIC,David9928,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara9929,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard9930,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan9931,169,32
2020,MALE,HISPANIC,Joseph9932,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica9933,167,34
2022,MALE,OTHER ETHNICITY,Thomas9934,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9935,165,36
2016,MALE,BLACK NON HISPANIC,Charles9936,164,37
2017,FEMALE,HISPANIC,Karen9937,163,38
2018,MALE,WHITE NON HISPANIC,Christopher9938,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy9939,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James9940,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary9941,159,42
2022,MALE,HISPANIC,Robert9942,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia9943,157,44
2016,MALE,OTHER ETHNICITY,Michael9944,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9945,155,46
2018,MALE,BLACK NON HISPANIC,William9946,154,47
2019,FEMALE,HISPANIC,Linda9947,153,48
2020,MALE,WHITE NON HISPANIC,David9948,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara9949,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard9950,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan9951,149,2
2016,MALE,HISPANIC,Joseph9952,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica9953,147,4
2018,MALE,OTHER ETHNICITY,Thomas9954,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9955,145,6
2020,MALE,BLACK NON HISPANIC,Charles9956,144,7
2021,FEMALE,HISPANIC,Karen9957,143,8
2022,MALE,WHITE NON HISPANIC,Christopher9958,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy9959,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James9960,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary9961,139,12
2018,MALE,HISPANIC,Robert9962,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia9963,137,14
2020,MALE,OTHER ETHNICITY,Michael9964,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9965,135,16
2022,MALE,BLACK NON HISPANIC,William9966,134,17
2023,FEMALE,HISPANIC,Linda9967,133,18
2016,MALE,WHITE NON HISPANIC,David9968,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara9969,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard9970,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan9971,129,22
2020,MALE,HISPANIC,Joseph9972,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica9973,127,24
2022,MALE,OTHER ETHNICITY,Thomas9974,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9975,125,26
2016,MALE,BLACK NON HISPANIC,Charles9976,124,27
2017,FEMALE,HISPANIC,Karen9977,123,28
2018,MALE,WHITE NON HISPANIC,Christopher9978,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy9979,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James9980,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary9981,119,32
2022,MALE,HISPANIC,Robert9982,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia9983,117,34
2016,MALE,OTHER ETHNICITY,Michael9984,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer9985,115,36
2018,MALE,BLACK NON HISPANIC,William9986,114,37
2019,FEMALE,HISPANIC,Linda9987,113,38
2020,MALE,WHITE NON HISPANIC,David9988,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara9989,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard9990,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan9991,109,42
2016,MALE,HISPANIC,Joseph9992,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica9993,107,44
2018,MALE,OTHER ETHNICITY,Thomas9994,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah9995,105,46
2020,MALE,BLACK NON HISPANIC,Charles9996,104,47
2021,FEMALE,HISPANIC,Karen9997,103,48
2022,MALE,WHITE NON HISPANIC,Christopher9998,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy9999,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10000,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary10001,199,2
2018,MALE,HISPANIC,Robert10002,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia10003,197,4
2020,MALE,OTHER ETHNICITY,Michael10004,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10005,195,6
2022,MALE,BLACK NON HISPANIC,William10006,194,7
2023,FEMALE,HISPANIC,Linda10007,193,8
2016,MALE,WHITE NON HISPANIC,David10008,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara10009,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10010,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan10011,189,12
2020,MALE,HISPANIC,Joseph10012,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica10013,187,14
2022,MALE,OTHER ETHNICITY,Thomas10014,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10015,185,16
2016,MALE,BLACK NON HISPANIC,Charles10016,184,17
2017,FEMALE,HISPANIC,Karen10017,183,18
2018,MALE,WHITE NON HISPANIC,Christopher10018,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy10019,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10020,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary10021,179,22
2022,MALE,HISPANIC,Robert10022,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia10023,177,24
2016,MALE,OTHER ETHNICITY,Michael10024,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10025,175,26
2018,MALE,BLACK NON HISPANIC,William10026,174,27
2019,FEMALE,HISPANIC,Linda10027,173,28
2020,MALE,WHITE NON HISPANIC,David10028,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara10029,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10030,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan10031,169,32
2016,MALE,HISPANIC,Joseph10032,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica10033,167,34
2018,MALE,OTHER ETHNICITY,Thomas10034,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10035,165,36
2020,MALE,BLACK NON HISPANIC,Charles10036,164,37
2021,FEMALE,HISPANIC,Karen10037,163,38
2022,MALE,WHITE NON HISPANIC,Christopher10038,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy10039,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10040,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary10041,159,42
2018,MALE,HISPANIC,Robert10042,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia10043,157,44
2020,MALE,OTHER ETHNICITY,Michael10044,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10045,155,46
2022,MALE,BLACK NON HISPANIC,William10046,154,47
2023,FEMALE,HISPANIC,Linda10047,153,48
2016,MALE,WHITE NON HISPANIC,David10048,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara10049,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10050,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan10051,149,2
2020,MALE,HISPANIC,Joseph10052,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica10053,147,4
2022,MALE,OTHER ETHNICITY,Thomas10054,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10055,145,6
2016,MALE,BLACK NON HISPANIC,Charles10056,144,7
2017,FEMALE,HISPANIC,Karen10057,143,8
2018,MALE,WHITE NON HISPANIC,Christopher10058,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy10059,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10060,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary10061,139,12
2022,MALE,HISPANIC,Robert10062,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia10063,137,14
2016,MALE,OTHER ETHNICITY,Michael10064,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10065,135,16
2018,MALE,BLACK NON HISPANIC,William10066,134,17
2019,FEMALE,HISPANIC,Linda10067,133,18
2020,MALE,WHITE NON HISPANIC,David10068,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara10069,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10070,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan10071,129,22
2016,MALE,HISPANIC,Joseph10072,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica10073,127,24
2018,MALE,OTHER ETHNICITY,Thomas10074,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10075,125,26
2020,MALE,BLACK NON HISPANIC,Charles10076,124,27
2021,FEMALE,HISPANIC,Karen10077,123,28
2022,MALE,WHITE NON HISPANIC,Christopher10078,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy10079,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10080,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary10081,119,32
2018,MALE,HISPANIC,Robert10082,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia10083,117,34
2020,MALE,OTHER ETHNICITY,Michael10084,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10085,115,36
2022,MALE,BLACK NON HISPANIC,William10086,114,37
2023,FEMALE,HISPANIC,Linda10087,113,38
2016,MALE,WHITE NON HISPANIC,David10088,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara10089,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10090,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan10091,109,42
2020,MALE,HISPANIC,Joseph10092,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica10093,107,44
2022,MALE,OTHER ETHNICITY,Thomas10094,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10095,105,46
2016,MALE,BLACK NON HISPANIC,Charles10096,104,47
2017,FEMALE,HISPANIC,Karen10097,103,48
2018,MALE,WHITE NON HISPANIC,Christopher10098,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy10099,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10100,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary10101,199,2
2022,MALE,HISPANIC,Robert10102,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia10103,197,4
2016,MALE,OTHER ETHNICITY,Michael10104,196,5
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10105,195,6
2018,MALE,BLACK NON HISPANIC,William10106,194,7
2019,FEMALE,HISPANIC,Linda10107,193,8
2020,MALE,WHITE NON HISPANIC,David10108,192,9
2021,FEMALE,OTHER ETHNICITY,Barbara10109,191,10
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10110,190,11
2023,FEMALE,BLACK NON HISPANIC,Susan10111,189,12
2016,MALE,HISPANIC,Joseph10112,188,13
2017,FEMALE,WHITE NON HISPANIC,Jessica10113,187,14
2018,MALE,OTHER ETHNICITY,Thomas10114,186,15
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10115,185,16
2020,MALE,BLACK NON HISPANIC,Charles10116,184,17
2021,FEMALE,HISPANIC,Karen10117,183,18
2022,MALE,WHITE NON HISPANIC,Christopher10118,182,19
2023,FEMALE,OTHER ETHNICITY,Nancy10119,181,20
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10120,180,21
2017,FEMALE,BLACK NON HISPANIC,Mary10121,179,22
2018,MALE,HISPANIC,Robert10122,178,23
2019,FEMALE,WHITE NON HISPANIC,Patricia10123,177,24
2020,MALE,OTHER ETHNICITY,Michael10124,176,25
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10125,175,26
2022,MALE,BLACK NON HISPANIC,William10126,174,27
2023,FEMALE,HISPANIC,Linda10127,173,28
2016,MALE,WHITE NON HISPANIC,David10128,172,29
2017,FEMALE,OTHER ETHNICITY,Barbara10129,171,30
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10130,170,31
2019,FEMALE,BLACK NON HISPANIC,Susan10131,169,32
2020,MALE,HISPANIC,Joseph10132,168,33
2021,FEMALE,WHITE NON HISPANIC,Jessica10133,167,34
2022,MALE,OTHER ETHNICITY,Thomas10134,166,35
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10135,165,36
2016,MALE,BLACK NON HISPANIC,Charles10136,164,37
2017,FEMALE,HISPANIC,Karen10137,163,38
2018,MALE,WHITE NON HISPANIC,Christopher10138,162,39
2019,FEMALE,OTHER ETHNICITY,Nancy10139,161,40
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10140,160,41
2021,FEMALE,BLACK NON HISPANIC,Mary10141,159,42
2022,MALE,HISPANIC,Robert10142,158,43
2023,FEMALE,WHITE NON HISPANIC,Patricia10143,157,44
2016,MALE,OTHER ETHNICITY,Michael10144,156,45
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10145,155,46
2018,MALE,BLACK NON HISPANIC,William10146,154,47
2019,FEMALE,HISPANIC,Linda10147,153,48
2020,MALE,WHITE NON HISPANIC,David10148,152,49
2021,FEMALE,OTHER ETHNICITY,Barbara10149,151,50
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10150,150,1
2023,FEMALE,BLACK NON HISPANIC,Susan10151,149,2
2016,MALE,HISPANIC,Joseph10152,148,3
2017,FEMALE,WHITE NON HISPANIC,Jessica10153,147,4
2018,MALE,OTHER ETHNICITY,Thomas10154,146,5
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10155,145,6
2020,MALE,BLACK NON HISPANIC,Charles10156,144,7
2021,FEMALE,HISPANIC,Karen10157,143,8
2022,MALE,WHITE NON HISPANIC,Christopher10158,142,9
2023,FEMALE,OTHER ETHNICITY,Nancy10159,141,10
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10160,140,11
2017,FEMALE,BLACK NON HISPANIC,Mary10161,139,12
2018,MALE,HISPANIC,Robert10162,138,13
2019,FEMALE,WHITE NON HISPANIC,Patricia10163,137,14
2020,MALE,OTHER ETHNICITY,Michael10164,136,15
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10165,135,16
2022,MALE,BLACK NON HISPANIC,William10166,134,17
2023,FEMALE,HISPANIC,Linda10167,133,18
2016,MALE,WHITE NON HISPANIC,David10168,132,19
2017,FEMALE,OTHER ETHNICITY,Barbara10169,131,20
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10170,130,21
2019,FEMALE,BLACK NON HISPANIC,Susan10171,129,22
2020,MALE,HISPANIC,Joseph10172,128,23
2021,FEMALE,WHITE NON HISPANIC,Jessica10173,127,24
2022,MALE,OTHER ETHNICITY,Thomas10174,126,25
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10175,125,26
2016,MALE,BLACK NON HISPANIC,Charles10176,124,27
2017,FEMALE,HISPANIC,Karen10177,123,28
2018,MALE,WHITE NON HISPANIC,Christopher10178,122,29
2019,FEMALE,OTHER ETHNICITY,Nancy10179,121,30
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10180,120,31
2021,FEMALE,BLACK NON HISPANIC,Mary10181,119,32
2022,MALE,HISPANIC,Robert10182,118,33
2023,FEMALE,WHITE NON HISPANIC,Patricia10183,117,34
2016,MALE,OTHER ETHNICITY,Michael10184,116,35
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10185,115,36
2018,MALE,BLACK NON HISPANIC,William10186,114,37
2019,FEMALE,HISPANIC,Linda10187,113,38
2020,MALE,WHITE NON HISPANIC,David10188,112,39
2021,FEMALE,OTHER ETHNICITY,Barbara10189,111,40
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10190,110,41
2023,FEMALE,BLACK NON HISPANIC,Susan10191,109,42
2016,MALE,HISPANIC,Joseph10192,108,43
2017,FEMALE,WHITE NON HISPANIC,Jessica10193,107,44
2018,MALE,OTHER ETHNICITY,Thomas10194,106,45
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10195,105,46
2020,MALE,BLACK NON HISPANIC,Charles10196,104,47
2021,FEMALE,HISPANIC,Karen10197,103,48
2022,MALE,WHITE NON HISPANIC,Christopher10198,102,49
2023,FEMALE,OTHER ETHNICITY,Nancy10199,101,50
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10200,200,1
2017,FEMALE,BLACK NON HISPANIC,Mary10201,199,2
2018,MALE,HISPANIC,Robert10202,198,3
2019,FEMALE,WHITE NON HISPANIC,Patricia10203,197,4
2020,MALE,OTHER ETHNICITY,Michael10204,196,5
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10205,195,6
2022,MALE,BLACK NON HISPANIC,William10206,194,7
2023,FEMALE,HISPANIC,Linda10207,193,8
2016,MALE,WHITE NON HISPANIC,David10208,192,9
2017,FEMALE,OTHER ETHNICITY,Barbara10209,191,10
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10210,190,11
2019,FEMALE,BLACK NON HISPANIC,Susan10211,189,12
2020,MALE,HISPANIC,Joseph10212,188,13
2021,FEMALE,WHITE NON HISPANIC,Jessica10213,187,14
2022,MALE,OTHER ETHNICITY,Thomas10214,186,15
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10215,185,16
2016,MALE,BLACK NON HISPANIC,Charles10216,184,17
2017,FEMALE,HISPANIC,Karen10217,183,18
2018,MALE,WHITE NON HISPANIC,Christopher10218,182,19
2019,FEMALE,OTHER ETHNICITY,Nancy10219,181,20
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10220,180,21
2021,FEMALE,BLACK NON HISPANIC,Mary10221,179,22
2022,MALE,HISPANIC,Robert10222,178,23
2023,FEMALE,WHITE NON HISPANIC,Patricia10223,177,24
2016,MALE,OTHER ETHNICITY,Michael10224,176,25
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10225,175,26
2018,MALE,BLACK NON HISPANIC,William10226,174,27
2019,FEMALE,HISPANIC,Linda10227,173,28
2020,MALE,WHITE NON HISPANIC,David10228,172,29
2021,FEMALE,OTHER ETHNICITY,Barbara10229,171,30
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10230,170,31
2023,FEMALE,BLACK NON HISPANIC,Susan10231,169,32
2016,MALE,HISPANIC,Joseph10232,168,33
2017,FEMALE,WHITE NON HISPANIC,Jessica10233,167,34
2018,MALE,OTHER ETHNICITY,Thomas10234,166,35
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10235,165,36
2020,MALE,BLACK NON HISPANIC,Charles10236,164,37
2021,FEMALE,HISPANIC,Karen10237,163,38
2022,MALE,WHITE NON HISPANIC,Christopher10238,162,39
2023,FEMALE,OTHER ETHNICITY,Nancy10239,161,40
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10240,160,41
2017,FEMALE,BLACK NON HISPANIC,Mary10241,159,42
2018,MALE,HISPANIC,Robert10242,158,43
2019,FEMALE,WHITE NON HISPANIC,Patricia10243,157,44
2020,MALE,OTHER ETHNICITY,Michael10244,156,45
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10245,155,46
2022,MALE,BLACK NON HISPANIC,William10246,154,47
2023,FEMALE,HISPANIC,Linda10247,153,48
2016,MALE,WHITE NON HISPANIC,David10248,152,49
2017,FEMALE,OTHER ETHNICITY,Barbara10249,151,50
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10250,150,1
2019,FEMALE,BLACK NON HISPANIC,Susan10251,149,2
2020,MALE,HISPANIC,Joseph10252,148,3
2021,FEMALE,WHITE NON HISPANIC,Jessica10253,147,4
2022,MALE,OTHER ETHNICITY,Thomas10254,146,5
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10255,145,6
2016,MALE,BLACK NON HISPANIC,Charles10256,144,7
2017,FEMALE,HISPANIC,Karen10257,143,8
2018,MALE,WHITE NON HISPANIC,Christopher10258,142,9
2019,FEMALE,OTHER ETHNICITY,Nancy10259,141,10
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10260,140,11
2021,FEMALE,BLACK NON HISPANIC,Mary10261,139,12
2022,MALE,HISPANIC,Robert10262,138,13
2023,FEMALE,WHITE NON HISPANIC,Patricia10263,137,14
2016,MALE,OTHER ETHNICITY,Michael10264,136,15
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10265,135,16
2018,MALE,BLACK NON HISPANIC,William10266,134,17
2019,FEMALE,HISPANIC,Linda10267,133,18
2020,MALE,WHITE NON HISPANIC,David10268,132,19
2021,FEMALE,OTHER ETHNICITY,Barbara10269,131,20
2022,MALE,ASIAN AND PACIFIC ISLANDER,Richard10270,130,21
2023,FEMALE,BLACK NON HISPANIC,Susan10271,129,22
2016,MALE,HISPANIC,Joseph10272,128,23
2017,FEMALE,WHITE NON HISPANIC,Jessica10273,127,24
2018,MALE,OTHER ETHNICITY,Thomas10274,126,25
2019,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10275,125,26
2020,MALE,BLACK NON HISPANIC,Charles10276,124,27
2021,FEMALE,HISPANIC,Karen10277,123,28
2022,MALE,WHITE NON HISPANIC,Christopher10278,122,29
2023,FEMALE,OTHER ETHNICITY,Nancy10279,121,30
2016,MALE,ASIAN AND PACIFIC ISLANDER,James10280,120,31
2017,FEMALE,BLACK NON HISPANIC,Mary10281,119,32
2018,MALE,HISPANIC,Robert10282,118,33
2019,FEMALE,WHITE NON HISPANIC,Patricia10283,117,34
2020,MALE,OTHER ETHNICITY,Michael10284,116,35
2021,FEMALE,ASIAN AND PACIFIC ISLANDER,Jennifer10285,115,36
2022,MALE,BLACK NON HISPANIC,William10286,114,37
2023,FEMALE,HISPANIC,Linda10287,113,38
2016,MALE,WHITE NON HISPANIC,David10288,112,39
2017,FEMALE,OTHER ETHNICITY,Barbara10289,111,40
2018,MALE,ASIAN AND PACIFIC ISLANDER,Richard10290,110,41
2019,FEMALE,BLACK NON HISPANIC,Susan10291,109,42
2020,MALE,HISPANIC,Joseph10292,108,43
2021,FEMALE,WHITE NON HISPANIC,Jessica10293,107,44
2022,MALE,OTHER ETHNICITY,Thomas10294,106,45
2023,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah10295,105,46
2016,MALE,BLACK NON HISPANIC,Charles10296,104,47
2017,FEMALE,HISPANIC,Karen10297,103,48
2018,MALE,WHITE NON HISPANIC,Christopher10298,102,49
2019,FEMALE,OTHER ETHNICITY,Nancy10299,101,50
2020,MALE,ASIAN AND PACIFIC ISLANDER,James10300,200,1
2021,FEMALE,BLACK NON HISPANIC,Mary10301,199,2
2022,MALE,HISPANIC,Robert10302,198,3
2023,FEMALE,WHITE NON HISPANIC,Patricia10303,197,4
